title,worldwide_gross,domestic_gross,foreign_gross,widest_opening,rating,budget,month,year,adjust,tickets_sold,gross_adj,season
School of Rock (2003),131282949,81261177,50021772,2951,PG-13,3.50E+07,October,2003,6.03,13476148.76,121420100.3,Fall
The Rundown (2003),80916492,47726342,33190150,3154,PG-13,8.50E+07,September,2003,6.03,7914816.252,71312494.43,Fall
Underworld (2003),95708457,51970690,43737767,2928,R,2.20E+07,September,2003,6.03,8618688.226,77654380.91,Fall
Once Upon a Time in Mexico (2003),98185582,56359780,41825802,3289,R,2.90E+07,September,2003,6.03,9346563.847,84212540.27,Fall
Jeepers Creepers 2 (2003),63102666,35667218,27435448,3124,R,1.70E+07,August,2003,6.03,5914961.526,53293803.35,Summer
Freddy Vs. Jason (2003),114908830,82622655,32286175,3014,R,3.00E+07,August,2003,6.03,13701932.84,123454414.9,Summer
S.W.A.T. (2003),207725639,116934650,90790989,3220,PG-13,8.00E+07,August,2003,6.03,19392147.6,174723249.8,Summer
American Wedding (2003),231449203,104565114,126884089,3175,R,5.50E+07,August,2003,6.03,17340814.93,156240742.5,Summer
Spy Kids 3D: Game Over (2003),197011982,111761982,85250000,3388,PG,3.80E+07,July,2003,6.03,18534325.37,166994271.6,Summer
Bad Boys II (2003),273339556,138608444,134731112,3202,R,1.30E+08,July,2003,6.03,22986474.96,207108139.4,Summer
Pirates of the Caribbean: The Curse of the Black Pearl (2003),654264015,305413918,348850097,3416,PG-13,1.40E+08,July,2003,6.03,50649074.3,456348159.4,Summer
Terminator 3: Rise of the Machines (2003),433371112,150371112,2.83E+08,3504,R,2.00E+08,July,2003,6.03,24937166.17,224683867.2,Summer
Charlie's Angels: Full Throttle (2003),259175788,100830111,158345677,3485,PG-13,1.20E+08,June,2003,6.03,16721411.44,150659917.1,Summer
Hulk (2003),245360480,132177234,113183246,3674,PG-13,1.37E+08,June,2003,6.03,21919939.3,197498653.1,Summer
Finding Nemo (2003),940335536,380843261,559492275,3425,G,9.40E+07,May,2003,6.03,63158086.4,569054358.5,Spring
Bruce Almighty (2003),484592874,242829261,241763613,3549,PG-13,8.10E+07,May,2003,6.03,40270192.54,362834434.8,Spring
The Matrix Reloaded (2003),742128461,281576461,460552000,3603,R,1.50E+08,May,2003,6.03,46695930.51,420730333.9,Spring
X2: X-Men United (2003),407711549,214949694,192761855,3749,PG-13,1.10E+08,May,2003,6.03,35646715.42,321176906,Spring
Identity (2003),90259536,52159536,38100000,2733,R,2.80E+07,April,2003,6.03,8650005.97,77936553.79,Spring
Anger Management (2003),195745823,135645823,60100000,3656,PG-13,7.50E+07,April,2003,6.03,22495161.36,202681403.9,Spring
Phone Booth (2003),97837138,46566212,51270926,2489,R,1.30E+07,April,2003,6.03,7722423.217,69579033.19,Spring
Head of State (2003),38620484,38125247,495237,2256,PG-13,35200000,March,2003,6.03,6322594.859,56966579.68,Spring
Bringing Down the House (2003),164729679,132716677,32013002,2910,PG-13,3.30E+07,March,2003,6.03,22009399.17,198304686.5,Spring
Cradle 2 the Grave (2003),56489558,34712347,21777211,2625,R,2.50E+07,February,2003,6.03,5756608.126,51867039.22,Winter
Old School (2003),87055349,75585093,11470256,2742,R,2.40E+07,February,2003,6.03,12534841.29,112938920.1,Winter
Daredevil (2003),179179718,102543518,76636200,3474,PG-13,7.80E+07,February,2003,6.03,17005558.54,153220082.5,Winter
How to Lose a Guy in 10 Days (2003),177371441,105813373,71558068,2923,PG-13,NA,February,2003,6.03,17547823.05,158105885.7,Winter
The Recruit (2003),101191884,52802140,48389744,2376,PG-13,NA,January,2003,6.03,8756573.798,78896729.92,Winter
Darkness Falls (2003),47488536,32551396,14937140,2865,PG-13,1.10E+07,January,2003,6.03,5398241.459,48638155.55,Winter
Kangaroo Jack (2003),88929111,66934963,21994148,2848,PG,6.00E+07,January,2003,6.03,11100325.54,100013933.1,Winter
Just Married (2003),101564935,56127162,45437773,2769,PG-13,1.80E+07,January,2003,6.03,9307987.065,83864963.45,Winter
Meet the Fockers (2004),516642939,279261160,237381779,3554,PG-13,8.00E+07,December,2004,6.21,44969590.98,405176014.8,Winter
Lemony Snicket's A Series of Unfortunate Events (2004),209073645,118634549,90439096,3623,PG,1.40E+08,December,2004,6.21,19103792.11,172125166.9,Winter
Ocean's Twelve (2004),362744280,125544280,237200000,3290,PG-13,1.10E+08,December,2004,6.21,20216470.21,182150396.6,Winter
National Treasure (2004),347512318,173008894,174503424,3243,PG,1.00E+08,November,2004,6.21,27859725.28,251016124.8,Fall
The Incredibles (2004),633019734,261441092,371578642,3933,PG,9.20E+07,November,2004,6.21,42100014.81,379321133.5,Fall
The Grudge (2004),187281115,110359362,76921753,3348,PG-13,1.00E+07,October,2004,6.21,17771233.82,160118816.7,Fall
Shark Tale (2004),NA,NA,0,NA,PG,7.50E+07,October,2004,6.21,NA,NA,Fall
The Forgotten (2004),117592831,67133509,50459322,3144,PG-13,4.20E+07,September,2004,6.21,10810548.95,97403046.07,Fall
Sky Captain and the World of Tomorrow (2004),57958696,37762677,20196019,3170,PG,7.00E+07,September,2004,6.21,6080946.377,54789326.86,Fall
Resident Evil: Apocalypse (2004),129342769,51201453,78141316,3284,R,4.50E+07,September,2004,6.21,8245000.483,74287454.35,Fall
Hero (2004),177394432,53710019,123684413,2175,PG-13,3.10E+07,August,2004,6.21,8648956.361,77927096.81,Summer
Exorcist: The Beginning (2004),78000586,41821986,36178600,2813,R,8.00E+07,August,2004,6.21,6734619.324,60678920.11,Summer
Alien Vs. Predator (2004),172544654,80282231,92262423,3401,PG-13,6.00E+07,August,2004,6.21,12927895.49,116480338.4,Summer
Collateral (2004),217764291,101005703,116758588,3205,R,6.50E+07,August,2004,6.21,16265008.53,146547726.9,Summer
The Village (2004),256697520,114197520,142500000,3733,PG-13,6.00E+07,July,2004,6.21,18389294.69,165687545.1,Summer
The Bourne Supremacy (2004),288500217,176241941,112258276,3304,PG-13,7.50E+07,July,2004,6.21,28380344.77,255706906.3,Summer
"I, Robot (2004)",347234916,144801023,202433893,3494,PG-13,1.20E+08,July,2004,6.21,23317395.01,210089729,Summer
Spider-Man 2 (2004),783766341,373585825,410180516,4166,PG-13,2.00E+08,June,2004,6.21,60158747.99,542030319.4,Summer
DodgeBall: A True Underdog Story (2004),167722310,114326736,53395574,3020,PG-13,2.00E+07,June,2004,6.21,18410102.42,165875022.8,Summer
Harry Potter and the Prisoner of Azkaban (2004),NA,NA,0,NA,PG,1.30E+08,June,2004,6.21,NA,NA,Summer
Shrek 2 (2004),919838758,441226247,478612511,4223,PG,1.50E+08,May,2004,6.21,71050925.44,640168838.2,Spring
Troy (2004),497409852,133378256,364031596,3411,R,1.75E+08,May,2004,6.21,21477980.03,193516600.1,Spring
Van Helsing (2004),300257475,120177084,180080391,3580,PG-13,1.60E+08,May,2004,6.21,19352187.44,174363208.8,Spring
Mean Girls (2004),129042871,86058055,42984816,3054,PG-13,1.70E+07,April,2004,6.21,13857979.87,124860398.6,Spring
Man on Fire (2004),130293714,77911774,52381940,2986,R,7.00E+07,April,2004,6.21,12546179.39,113041076.3,Spring
Kill Bill Vol. 2 (2004),152159461,66208183,85951278,3073,R,3.00E+07,April,2004,6.21,10661543.16,96060503.84,Spring
The Passion of the Christ (2004),611899420,370782930,241116490,3408,R,3.00E+07,February,2004,6.21,59707396.14,537963639.2,Winter
Hellboy (2004),99318987,59623958,39695029,3043,PG-13,6.60E+07,April,2004,6.21,9601281.481,86507546.15,Spring
Scooby-Doo 2: Monsters Unleashed (2004),181466833,84216833,97250000,3312,PG,NA,March,2004,6.21,13561486.8,122188996,Spring
Dawn of the Dead (2004),102356381,59020957,43335424,2748,R,2.60E+07,March,2004,6.21,9504179.871,85632660.64,Spring
50 First Dates (2004),196482882,120908074,75574808,3612,PG-13,7.50E+07,February,2004,6.21,19469899.19,175423791.7,Winter
Barbershop 2: Back in Business (2004),65971313,65111277,860036,2711,PG-13,3.00E+07,February,2004,6.21,10484907.73,94469018.64,Winter
You Got Served (2004),48631561,40363810,8267751,1943,PG-13,8.00E+06,January,2004,6.21,6499808.374,58563273.45,Winter
The Butterfly Effect (2004),96060858,57938693,38122165,2605,R,1.30E+07,January,2004,6.21,9329902.254,84062419.31,Winter
Along Came Polly (2004),171963386,88097164,83866222,3052,PG-13,4.20E+07,January,2004,6.21,14186338.81,127818912.7,Winter
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe (2005)",745013115,291710957,453302158,3853,PG,1.80E+08,December,2005,6.41,45508729.64,410033654.1,Winter
King Kong (2005),NA,NA,0,NA,PG-13,2.07E+08,December,2005,6.41,NA,NA,Winter
Harry Potter and the Goblet of Fire (2005),NA,NA,0,NA,PG-13,1.50E+08,November,2005,6.41,NA,NA,Fall
Chicken Little (2005),314432837,135386665,179046172,3658,G,1.50E+08,November,2005,6.41,21121164.59,190301692.9,Fall
Saw II (2005),147748505,87039965,60708540,2949,R,4.00E+06,October,2005,6.41,13578777.69,122344787,Fall
Doom (2005),55987321,28212337,27774984,3044,R,6.00E+07,October,2005,6.41,4401300.624,39655718.62,Fall
The Fog (2005) (2005),46201432,29550869,16650563,2972,PG-13,1.80E+07,October,2005,6.41,4610119.969,41537180.92,Fall
Wallace and Gromit: The Curse of the Were-Rabbit (2005),192610372,56110897,136499475,3656,G,3.00E+07,October,2005,6.41,8753650.078,78870387.2,Fall
Flightplan (2005),223387299,89707299,133680000,3424,PG-13,NA,September,2005,6.41,13994898.44,126094034.9,Fall
Just Like Heaven (2005),102854431,48318130,54536301,3543,PG-13,5.80E+07,September,2005,6.41,7537929.797,67916747.47,Fall
The Exorcism of Emily Rose (2005),144216468,75072454,69144014,3045,PG-13,1.90E+07,September,2005,6.41,11711771.29,105523059.4,Fall
Transporter 2 (2005),85167639,43095856,42071783,3320,PG-13,3.20E+07,September,2005,6.41,6723222.465,60576234.41,Fall
The 40-Year-Old Virgin (2005),177378645,109449237,67929408,3006,R,2.60E+07,August,2005,6.41,17074763.96,153843623.3,Summer
Four Brothers (2005),92374674,74494381,17880293,2649,R,4.50E+07,August,2005,6.41,11621588.3,104710510.6,Summer
The Dukes of Hazzard (2005),111069515,80270227,30799288,3785,PG-13,5.00E+07,August,2005,6.41,12522656.32,112829133.4,Summer
Wedding Crashers (2005),285176741,209255921,75920820,3131,R,4.00E+07,July,2005,6.41,32645229.49,294133517.7,Summer
Charlie and the Chocolate Factory (2005),474968763,206459076,268509687,3790,PG,1.50E+08,July,2005,6.41,32208904.21,290202227,Summer
Fantastic Four (2005) (2005),330579719,154696080,175883639,3619,PG-13,1.00E+08,July,2005,6.41,24133553.82,217443319.9,Summer
War of the Worlds (2005),591745540,234280354,357465186,3910,PG-13,1.32E+08,June,2005,6.41,36549197.19,329308266.7,Summer
Batman Begins (2005),374218673,206852432,167366241,3858,PG-13,1.50E+08,June,2005,6.41,32270270.2,290755134.5,Summer
